PlayerSum,DealerShow,UsableAce,Value
16.0,7.0,1.0,-0.046511627906976744
16.0,8.0,0.0,-0.4547244094488189
16.0,8.0,1.0,-0.3333333333333333
16.0,9.0,0.0,-0.48084291187739464
16.0,9.0,1.0,-0.28846153846153844
16.0,10.0,0.0,-0.5083333333333333
16.0,10.0,1.0,-0.3368421052631579
17.0,1.0,0.0,-0.6869070208728653
17.0,1.0,1.0,-0.6842105263157895
17.0,2.0,0.0,-0.3686200378071834
17.0,2.0,1.0,-0.41304347826086957
17.0,3.0,0.0,-0.3694852941176471
17.0,3.0,1.0,-0.13725490196078433
17.0,4.0,0.0,-0.3284671532846715
17.0,4.0,1.0,-0.12962962962962962
17.0,5.0,0.0,-0.2885375494071146
17.0,5.0,1.0,-0.14035087719298245
17.0,6.0,0.0,-0.2660377358490566
17.0,6.0,1.0,-0.078125
17.0,7.0,0.0,-0.4101123595505618
17.0,7.0,1.0,-0.2903225806451613
17.0,8.0,0.0,-0.4373956594323873
17.0,8.0,1.0,-0.36585365853658536
17.0,9.0,0.0,-0.4701492537313433
17.0,9.0,1.0,-0.23404255319148937
17.0,10.0,0.0,-0.501890359168242
17.0,10.0,1.0,-0.46226415094339623
18.0,1.0,0.0,-0.6221837088388215
18.0,1.0,1.0,-0.7115384615384616
18.0,2.0,0.0,-0.4438405797101449
18.0,2.0,1.0,-0.2830188679245283
18.0,3.0,0.0,-0.3333333333333333
18.0,3.0,1.0,-0.3148148148148148
18.0,4.0,0.0,-0.35036496350364965
18.0,4.0,1.0,-0.1896551724137931
18.0,5.0,0.0,-0.3656307129798903
18.0,5.0,1.0,-0.3469387755102041
18.0,6.0,0.0,-0.340036563071298
18.0,6.0,1.0,-0.16981132075471697
18.0,7.0,0.0,-0.48545454545454547
18.0,7.0,1.0,-0.4107142857142857
18.0,8.0,0.0,-0.45373665480427045
18.0,8.0,1.0,-0.32558139534883723
18.0,9.0,0.0,-0.4780316344463972
18.0,9.0,1.0,-0.26229508196721313
18.0,10.0,0.0,-0.5142450142450142
18.0,10.0,1.0,-0.48598130841121495
19.0,1.0,0.0,-0.6377295492487479
19.0,1.0,1.0,-0.5208333333333334
19.0,2.0,0.0,-0.47150259067357514
19.0,2.0,1.0,-0.3728813559322034
19.0,3.0,0.0,-0.38198198198198197
19.0,3.0,1.0,-0.36363636363636365
19.0,4.0,0.0,-0.4052631578947368
