PlayerSum,DealerShow,UsableAce,Value
15.0,1.0,1.0,-0.6666666666666666
15.0,2.0,0.0,-0.3563218390804598
15.0,2.0,1.0,0.25
15.0,3.0,0.0,-0.28703703703703703
15.0,3.0,1.0,-0.23076923076923078
15.0,4.0,0.0,-0.34444444444444444
15.0,4.0,1.0,0.1111111111111111
15.0,5.0,0.0,-0.17894736842105263
15.0,5.0,1.0,0.0
15.0,6.0,0.0,-0.30275229357798167
15.0,6.0,1.0,0.0
15.0,7.0,0.0,-0.3853211009174312
15.0,7.0,1.0,-0.2
15.0,8.0,0.0,-0.45794392523364486
15.0,8.0,1.0,-0.09090909090909091
15.0,9.0,0.0,-0.5
15.0,9.0,1.0,0.125
15.0,10.0,0.0,-0.5415617128463476
15.0,10.0,1.0,-0.48484848484848486
16.0,1.0,0.0,-0.5779816513761468
16.0,1.0,1.0,-0.3333333333333333
16.0,2.0,0.0,-0.33653846153846156
16.0,2.0,1.0,-0.4666666666666667
16.0,3.0,0.0,-0.48514851485148514
16.0,3.0,1.0,-0.4444444444444444
16.0,4.0,0.0,-0.45714285714285713
16.0,4.0,1.0,-0.2857142857142857
16.0,5.0,0.0,-0.22641509433962265
16.0,5.0,1.0,-0.2
16.0,6.0,0.0,-0.3211009174311927
16.0,6.0,1.0,-0.6666666666666666
16.0,7.0,0.0,-0.4864864864864865
16.0,7.0,1.0,0.1111111111111111
16.0,8.0,0.0,-0.3939393939393939
16.0,8.0,1.0,-0.5
16.0,9.0,0.0,-0.3269230769230769
16.0,9.0,1.0,-0.2727272727272727
16.0,10.0,0.0,-0.5304568527918782
16.0,10.0,1.0,-0.6071428571428571
17.0,1.0,0.0,-0.672566371681416
17.0,1.0,1.0,-0.7272727272727273
17.0,2.0,0.0,-0.46601941747572817
17.0,2.0,1.0,-0.1111111111111111
17.0,3.0,0.0,-0.4036697247706422
17.0,3.0,1.0,-0.3
17.0,4.0,0.0,-0.2882882882882883
17.0,4.0,1.0,0.23076923076923078
17.0,5.0,0.0,-0.3445378151260504
17.0,5.0,1.0,-0.75
17.0,6.0,0.0,-0.3944954128440367
17.0,6.0,1.0,-0.14285714285714285
17.0,7.0,0.0,-0.415929203539823
17.0,7.0,1.0,0.1111111111111111
17.0,8.0,0.0,-0.42696629213483145
17.0,8.0,1.0,-0.375
17.0,9.0,0.0,-0.5267857142857143
17.0,9.0,1.0,-0.5
17.0,10.0,0.0,-0.5916114790286976
17.0,10.0,1.0,-0.4473684210526316
18.0,1.0,0.0,-0.7448979591836735
18.0,1.0,1.0,-0.4444444444444444
18.0,2.0,0.0,-0.4083333333333333
18.0,2.0,1.0,-0.2857142857142857
18.0,3.0,0.0,-0.4051724137931034
18.0,3.0,1.0,-0.7142857142857143
18.0,4.0,0.0,-0.375
18.0,4.0,1.0,-0.2
18.0,5.0,0.0,-0.3949579831932773
18.0,5.0,1.0,0.0
18.0,6.0,0.0,-0.3963963963963964
18.0,6.0,1.0,0.2222222222222222
18.0,7.0,0.0,-0.49557522123893805
18.0,7.0,1.0,-0.7
18.0,8.0,0.0,-0.5213675213675214
18.0,8.0,1.0,-0.23076923076923078
18.0,9.0,0.0,-0.525
18.0,9.0,1.0,-0.8
18.0,10.0,0.0,-0.510158013544018
18.0,10.0,1.0,-0.24489795918367346
19.0,1.0,0.0,-0.6346153846153846
19.0,1.0,1.0,-0.4
19.0,2.0,0.0,-0.33070866141732286
19.0,2.0,1.0,-0.42857142857142855
19.0,3.0,0.0,-0.45132743362831856
19.0,3.0,1.0,0.0
19.0,4.0,0.0,-0.34831460674157305
19.0,4.0,1.0,-0.15
19.0,5.0,0.0,-0.3
